"","Experiment","Location","Temperature","Depth","Bottle","Timepoint","Treatment","Target_DOC_Amendment","Inoculum_L","Media_L","Datetime","TOC_Sample","Parallel_Sample","Cell_Sample","DNA_Sample","DNA_SampleID","Cells_ml","cells_L","interv","dur","days","cells_sd","ln_cells","diff_ln_cells","exp_start","exp_end","ln_cells_exp_start","ln_cells_exp_end","cells_exp_start","cells_exp_end","days_exp_start","days_exp_end","mew","doubling_time","delta_cells","bc","deltaBc","avg_bc","sd_bc","avg_mew","sd_mew","avg_doubling_time","sd_doubling_time","avg_delta_cells","sd_delta_cells","avg_delta_bc","sd_delta_bc","avg_lag_phase_dur"
"1","144L_2018","Campus Point",20,1,"A",0,"Control",0,1.5,3.5,2018-10-15 16:30:00,TRUE,TRUE,TRUE,TRUE,"144_A0_S6",332531.521981644,332531521.981644,2018-10-15 16:30:00 UTC--2018-10-15 16:30:00 UTC,0s,0,210649271.092638,19.622245216519,0,0,1,19.622245216519,20.0768936956858,332531521.981644,523943124.668706,0,0.645833333333333,0.703971838709872,0.984623450037768,191411602.687062,0.83132880495411,0.478529006717655,0.902218674826981,0.100253415409078,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"2","144L_2018","Campus Point",20,1,"A",1,"Control",0,1.5,3.5,2018-10-16 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,523943.124668706,523943124.668706,2018-10-15 16:30:00 UTC--2018-10-16 08:00:00 UTC,55800s (~15.5 hours),0.645833333333333,210649271.092638,20.0768936956858,0.454648479166792,0,1,19.622245216519,20.0768936956858,332531521.981644,523943124.668706,0,0.645833333333333,0.703971838709872,0.984623450037768,191411602.687062,1.30985781167176,0.478529006717655,1.33015413910703,0.0287033415253152,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"3","144L_2018","Campus Point",20,1,"A",2,"Control",0,1.5,3.5,2018-10-16 20:00:00,FALSE,FALSE,TRUE,FALSE,NA,859019.934192826,859019934.192826,2018-10-15 16:30:00 UTC--2018-10-16 20:00:00 UTC,99000s (~1.15 days),1.14583333333333,210649271.092638,20.5713026859573,0.494408990271523,0,1,19.622245216519,20.0768936956858,332531521.981644,523943124.668706,0,0.645833333333333,0.703971838709872,0.984623450037768,191411602.687062,2.14754983548207,0.478529006717655,1.95357568962716,0.274320867817747,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"4","144L_2018","Campus Point",20,1,"A",3,"Control",0,1.5,3.5,2018-10-17 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,906998.856298991,906998856.298991,2018-10-15 16:30:00 UTC--2018-10-17 08:00:00 UTC,142200s (~1.65 days),1.64583333333333,210649271.092638,20.6256517471073,0.0543490611499777,0,1,19.622245216519,20.0768936956858,332531521.981644,523943124.668706,0,0.645833333333333,0.703971838709872,0.984623450037768,191411602.687062,2.26749714074748,0.478529006717655,2.35151909556703,0.118824988042907,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"5","144L_2018","Campus Point",20,1,"A",4,"Control",0,1.5,3.5,2018-10-17 20:00:00,TRUE,TRUE,TRUE,TRUE,"144_A4_S7",933025.234447921,933025234.447921,2018-10-15 16:30:00 UTC--2018-10-17 20:00:00 UTC,185400s (~2.15 days),2.14583333333333,210649271.092638,20.6539428050138,0.0282910579065678,0,1,19.622245216519,20.0768936956858,332531521.981644,523943124.668706,0,0.645833333333333,0.703971838709872,0.984623450037768,191411602.687062,2.3325630861198,0.478529006717655,2.54942101679503,0.306683426669066,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"6","144L_2018","Campus Point",20,1,"A",5,"Control",0,1.5,3.5,2018-10-18 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,861129.087075272,861129087.075272,2018-10-15 16:30:00 UTC--2018-10-18 08:00:00 UTC,228600s (~2.65 days),2.64583333333333,210649271.092638,20.5737549780708,-0.0801878269430603,0,1,19.622245216519,20.0768936956858,332531521.981644,523943124.668706,0,0.645833333333333,0.703971838709872,0.984623450037768,191411602.687062,2.15282271768818,0.478529006717655,2.34781491221945,0.275760606063019,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"7","144L_2018","Campus Point",20,1,"A",6,"Control",0,1.5,3.5,2018-10-18 20:00:00,FALSE,FALSE,TRUE,FALSE,NA,798345.826604805,798345826.604805,2018-10-15 16:30:00 UTC--2018-10-18 20:00:00 UTC,271800s (~3.15 days),3.14583333333333,210649271.092638,20.4980524282106,-0.0757025498602246,0,1,19.622245216519,20.0768936956858,332531521.981644,523943124.668706,0,0.645833333333333,0.703971838709872,0.984623450037768,191411602.687062,1.99586456651201,0.478529006717655,2.27297171759304,0.391888691289365,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"8","144L_2018","Campus Point",20,1,"A",7,"Control",0,1.5,3.5,2018-10-19 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,818468.442863937,818468442.863937,2018-10-15 16:30:00 UTC--2018-10-19 08:00:00 UTC,315000s (~3.65 days),3.64583333333333,210649271.092638,20.5229453991928,0.0248929709822328,0,1,19.622245216519,20.0768936956858,332531521.981644,523943124.668706,0,0.645833333333333,0.703971838709872,0.984623450037768,191411602.687062,2.04617110715984,0.478529006717655,2.18185578587007,0.191887112838245,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"9","144L_2018","Campus Point",20,1,"A",8,"Control",0,1.5,3.5,2018-10-19 20:00:00,TRUE,TRUE,TRUE,TRUE,"144_A8_S8",967204.147775264,967204147.775264,2018-10-15 16:30:00 UTC--2018-10-19 20:00:00 UTC,358200s (~4.15 days),4.14583333333333,210649271.092638,20.6899201456916,0.166974746498838,0,1,19.622245216519,20.0768936956858,332531521.981644,523943124.668706,0,0.645833333333333,0.703971838709872,0.984623450037768,191411602.687062,2.41801036943816,0.478529006717655,2.24268618954829,0.247945833012191,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"10","144L_2018","Campus Point",20,1,"B",0,"Control",0,1.5,3.5,2018-10-15 16:30:00,TRUE,TRUE,TRUE,TRUE,"144_B0_S9",389243.417879941,389243417.879941,2018-10-15 16:30:00 UTC--2018-10-15 16:30:00 UTC,0s,0,242859676.664135,19.7797154587857,0,0,1,19.7797154587857,20.1074133207844,389243417.879941,540180186.616917,0,0.645833333333333,0.507403141159185,1.36606797304491,150936768.736976,0.973108544699853,0.37734192184244,0.902218674826981,0.100253415409078,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"11","144L_2018","Campus Point",20,1,"B",1,"Control",0,1.5,3.5,2018-10-16 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,540180.186616917,540180186.616917,2018-10-15 16:30:00 UTC--2018-10-16 08:00:00 UTC,55800s (~15.5 hours),0.645833333333333,242859676.664135,20.1074133207844,0.32769786199864,0,1,19.7797154587857,20.1074133207844,389243417.879941,540180186.616917,0,0.645833333333333,0.507403141159185,1.36606797304491,150936768.736976,1.35045046654229,0.37734192184244,1.33015413910703,0.0287033415253152,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"12","144L_2018","Campus Point",20,1,"B",2,"Control",0,1.5,3.5,2018-10-16 20:00:00,FALSE,FALSE,TRUE,FALSE,NA,703840.6175089,703840617.5089,2018-10-15 16:30:00 UTC--2018-10-16 20:00:00 UTC,99000s (~1.15 days),1.14583333333333,242859676.664135,20.372062492907,0.264649172122638,0,1,19.7797154587857,20.1074133207844,389243417.879941,540180186.616917,0,0.645833333333333,0.507403141159185,1.36606797304491,150936768.736976,1.75960154377225,0.37734192184244,1.95357568962716,0.274320867817747,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"13","144L_2018","Campus Point",20,1,"B",3,"Control",0,1.5,3.5,2018-10-17 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,974216.420154631,974216420.154631,2018-10-15 16:30:00 UTC--2018-10-17 08:00:00 UTC,142200s (~1.65 days),1.64583333333333,242859676.664135,20.6971440342087,0.325081541301646,0,1,19.7797154587857,20.1074133207844,389243417.879941,540180186.616917,0,0.645833333333333,0.507403141159185,1.36606797304491,150936768.736976,2.43554105038658,0.37734192184244,2.35151909556703,0.118824988042907,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"14","144L_2018","Campus Point",20,1,"B",4,"Control",0,1.5,3.5,2018-10-17 20:00:00,TRUE,TRUE,TRUE,TRUE,"144_B4_S10",1106511.5789881,1106511578.9881,2018-10-15 16:30:00 UTC--2018-10-17 20:00:00 UTC,185400s (~2.15 days),2.14583333333333,242859676.664135,20.8244781819177,0.127334147708996,0,1,19.7797154587857,20.1074133207844,389243417.879941,540180186.616917,0,0.645833333333333,0.507403141159185,1.36606797304491,150936768.736976,2.76627894747025,0.37734192184244,2.54942101679503,0.306683426669066,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"15","144L_2018","Campus Point",20,1,"B",5,"Control",0,1.5,3.5,2018-10-18 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,1017122.84270029,1017122842.70029,2018-10-15 16:30:00 UTC--2018-10-18 08:00:00 UTC,228600s (~2.65 days),2.64583333333333,242859676.664135,20.7402437360009,-0.0842344459167776,0,1,19.7797154587857,20.1074133207844,389243417.879941,540180186.616917,0,0.645833333333333,0.507403141159185,1.36606797304491,150936768.736976,2.54280710675073,0.37734192184244,2.34781491221945,0.275760606063019,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"16","144L_2018","Campus Point",20,1,"B",6,"Control",0,1.5,3.5,2018-10-18 20:00:00,FALSE,FALSE,TRUE,FALSE,NA,1020031.54746963,1020031547.46963,2018-10-15 16:30:00 UTC--2018-10-18 20:00:00 UTC,271800s (~3.15 days),3.14583333333333,242859676.664135,20.7430993926561,0.00285565665521048,0,1,19.7797154587857,20.1074133207844,389243417.879941,540180186.616917,0,0.645833333333333,0.507403141159185,1.36606797304491,150936768.736976,2.55007886867407,0.37734192184244,2.27297171759304,0.391888691289365,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"17","144L_2018","Campus Point",20,1,"B",7,"Control",0,1.5,3.5,2018-10-19 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,927016.185832122,927016185.832122,2018-10-15 16:30:00 UTC--2018-10-19 08:00:00 UTC,315000s (~3.65 days),3.64583333333333,242859676.664135,20.6474815838223,-0.095617808833822,0,1,19.7797154587857,20.1074133207844,389243417.879941,540180186.616917,0,0.645833333333333,0.507403141159185,1.36606797304491,150936768.736976,2.31754046458031,0.37734192184244,2.18185578587007,0.191887112838245,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"18","144L_2018","Campus Point",20,1,"B",8,"Control",0,1.5,3.5,2018-10-19 20:00:00,TRUE,TRUE,TRUE,TRUE,"144_B8_S11",826944.80386337,826944803.86337,2018-10-15 16:30:00 UTC--2018-10-19 20:00:00 UTC,358200s (~4.15 days),4.14583333333333,242859676.664135,20.5332485081528,-0.114233075669471,0,1,19.7797154587857,20.1074133207844,389243417.879941,540180186.616917,0,0.645833333333333,0.507403141159185,1.36606797304491,150936768.736976,2.06736200965842,0.37734192184244,2.24268618954829,0.247945833012191,0.605687489934528,0.101133760539746,1.17534571154134,0.196251588018249,171174185.712019,20824130.2689532,0.427935464280048,0.052060325672383,0
"19","144L_2018","Campus Point",20,1,"C",0,"Ash Leachate",10,1.5,3.5,2018-10-15 16:30:00,TRUE,TRUE,TRUE,TRUE,"144_C0_S12",336545.307786264,336545307.786264,2018-10-15 16:30:00 UTC--2018-10-15 16:30:00 UTC,0s,0,430214285.61166,19.6342433422239,0,0,1,19.6342433422239,20.719615951049,336545307.786264,996356766.839788,0,0.645833333333333,1.68057694269705,0.4124459659952,659811459.053524,0.84136326946566,1.64952864763381,0.893722045395291,0.0740464910289384,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
"20","144L_2018","Campus Point",20,1,"C",1,"Ash Leachate",10,1.5,3.5,2018-10-16 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,996356.766839788,996356766.839788,2018-10-15 16:30:00 UTC--2018-10-16 08:00:00 UTC,55800s (~15.5 hours),0.645833333333333,430214285.61166,20.719615951049,1.08537260882518,0,1,19.6342433422239,20.719615951049,336545307.786264,996356766.839788,0,0.645833333333333,1.68057694269705,0.4124459659952,659811459.053524,2.49089191709947,1.64952864763381,2.67525644327061,0.260730813331716,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
"21","144L_2018","Campus Point",20,1,"C",2,"Ash Leachate",10,1.5,3.5,2018-10-16 20:00:00,FALSE,FALSE,TRUE,FALSE,NA,1230196.24722663,1230196247.22663,2018-10-15 16:30:00 UTC--2018-10-16 20:00:00 UTC,99000s (~1.15 days),1.14583333333333,430214285.61166,20.9304395441947,0.210823593145612,0,1,19.6342433422239,20.719615951049,336545307.786264,996356766.839788,0,0.645833333333333,1.68057694269705,0.4124459659952,659811459.053524,3.07549061806658,1.64952864763381,3.14315759004231,0.0956955494928077,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
"22","144L_2018","Campus Point",20,1,"C",3,"Ash Leachate",10,1.5,3.5,2018-10-17 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,1302477.95360037,1302477953.60037,2018-10-15 16:30:00 UTC--2018-10-17 08:00:00 UTC,142200s (~1.65 days),1.64583333333333,430214285.61166,20.98753440523,0.0570948610353668,0,1,19.6342433422239,20.719615951049,336545307.786264,996356766.839788,0,0.645833333333333,1.68057694269705,0.4124459659952,659811459.053524,3.25619488400093,1.64952864763381,3.49191749716931,0.33336211650076,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
"23","144L_2018","Campus Point",20,1,"C",4,"Ash Leachate",10,1.5,3.5,2018-10-17 20:00:00,TRUE,TRUE,TRUE,TRUE,"144_C4_S13",1371723.38387575,1371723383.87575,2018-10-15 16:30:00 UTC--2018-10-17 20:00:00 UTC,185400s (~2.15 days),2.14583333333333,430214285.61166,21.0393337306721,0.0517993254420865,0,1,19.6342433422239,20.719615951049,336545307.786264,996356766.839788,0,0.645833333333333,1.68057694269705,0.4124459659952,659811459.053524,3.42930845968938,1.64952864763381,3.31825192746169,0.15705765406652,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
"24","144L_2018","Campus Point",20,1,"C",5,"Ash Leachate",10,1.5,3.5,2018-10-18 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,1374719.18912593,1374719189.12593,2018-10-15 16:30:00 UTC--2018-10-18 08:00:00 UTC,228600s (~2.65 days),2.64583333333333,430214285.61166,21.0415153211177,0.00218159044561972,0,1,19.6342433422239,20.719615951049,336545307.786264,996356766.839788,0,0.645833333333333,1.68057694269705,0.4124459659952,659811459.053524,3.43679797281483,1.64952864763381,3.44655982402993,0.0138053423822625,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
"25","144L_2018","Campus Point",20,1,"C",6,"Ash Leachate",10,1.5,3.5,2018-10-18 20:00:00,FALSE,FALSE,TRUE,FALSE,NA,1082805.71399938,1082805713.99938,2018-10-15 16:30:00 UTC--2018-10-18 20:00:00 UTC,271800s (~3.15 days),3.14583333333333,430214285.61166,20.8028213927494,-0.238693928368324,0,1,19.6342433422239,20.719615951049,336545307.786264,996356766.839788,0,0.645833333333333,1.68057694269705,0.4124459659952,659811459.053524,2.70701428499845,1.64952864763381,2.90795315661709,0.284170477451024,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
"26","144L_2018","Campus Point",20,1,"C",7,"Ash Leachate",10,1.5,3.5,2018-10-19 08:00:00,FALSE,FALSE,TRUE,FALSE,NA,700633.125581658,700633125.581658,2018-10-15 16:30:00 UTC--2018-10-19 08:00:00 UTC,315000s (~3.65 days),3.64583333333333,430214285.61166,20.3674949493422,-0.435326443407174,0,1,19.6342433422239,20.719615951049,336545307.786264,996356766.839788,0,0.645833333333333,1.68057694269705,0.4124459659952,659811459.053524,1.75158281395414,1.64952864763381,1.66961473503068,0.115920368895229,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
"27","144L_2018","Campus Point",20,1,"C",8,"Ash Leachate",10,1.5,3.5,2018-10-19 20:00:00,TRUE,TRUE,TRUE,TRUE,"144_C8_S14",269659.900084678,269659900.084678,2018-10-15 16:30:00 UTC--2018-10-19 20:00:00 UTC,358200s (~4.15 days),4.14583333333333,430214285.61166,19.4126720936468,-0.954822855695426,0,1,19.6342433422239,20.719615951049,336545307.786264,996356766.839788,0,0.645833333333333,1.68057694269705,0.4124459659952,659811459.053524,0.674149750211695,1.64952864763381,0.715912806856038,0.0590618811125849,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
"28","144L_2018","Campus Point",20,1,"D",0,"Ash Leachate",10,1.5,3.5,2018-10-15 16:30:00,TRUE,TRUE,TRUE,TRUE,"144_D0_S15",378432.328529969,378432328.529969,2018-10-15 16:30:00 UTC--2018-10-15 16:30:00 UTC,0s,0,451559954.016112,19.751547826297,0,0,1,19.751547826297,20.8576641929542,378432328.529969,1143848387.7767,0,0.645833333333333,1.71269630966269,0.404711084299854,765416059.246731,0.946080821324922,1.91354014811683,0.893722045395291,0.0740464910289384,1.69663662617987,0.0165252779708413,0.408578525147527,0.00397956380099,712613759.150128,54333118.553026,1.78153439787532,0.135832796382565,0
